Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty
TCS,EQ,2013-08-21,1736.4,1740.1,1743.7,1701.15,1720.0,1717.8,1719.42,1811997.0,3115584652.4,93068.0,1249087.0
TCS,EQ,2013-08-22,1717.8,1705.0,1797.15,1695.2,1774.0,1778.95,1734.32,2130494.0,3694948693.85,103483.0,1423179.0
TCS,EQ,2013-08-23,1778.95,1794.0,1838.0,1784.3,1822.0,1829.45,1815.5,2016442.0,3660840930.9,77530.0,1349884.0
TCS,EQ,2013-08-26,1829.45,1823.1,1878.6,1814.0,1850.05,1842.0,1854.16,1331619.0,2469028622.4,71382.0,778351.0
TCS,EQ,2013-08-27,1842.0,1839.0,1878.85,1830.0,1838.0,1838.8,1858.39,972642.0,1807546676.95,49621.0,452533.0
TCS,EQ,2013-08-28,1838.8,1828.0,1946.1,1828.0,1900.0,1907.9,1905.52,2222342.0,4234709917.05,100549.0,1350510.0
TCS,EQ,2013-08-29,1907.9,1901.0,1970.0,1878.3,1930.0,1947.1,1940.16,2952591.0,5728510576.1,154394.0,1759280.0
TCS,EQ,2013-08-30,1947.1,1939.0,2050.0,1930.0,2030.0,2033.2,2006.33,2641471.0,5299666523.3,131925.0,1608558.0
TCS,EQ,2013-09-02,2033.2,2020.0,2069.0,2017.5,2057.0,2056.85,2046.97,1077017.0,2204626811.3,54670.0,564721.0
TCS,EQ,2013-09-03,2056.85,2050.1,2067.0,1986.15,1989.45,2001.1,2034.58,1177532.0,2395778757.2,78795.0,655497.0
TCS,EQ,2013-09-04,2001.1,2000.0,2078.8,1993.95,2075.0,2069.1,2054.78,1313258.0,2698457160.05,65829.0,703326.0
TCS,EQ,2013-09-05,2069.1,2069.0,2069.0,1981.05,1994.0,1990.75,2007.11,1963746.0,3941460846.3,88625.0,1373909.0
TCS,EQ,2013-09-06,1990.75,2009.0,2025.0,1975.0,1980.0,1988.8,1998.04,1379798.0,2756885414.3,74017.0,806418.0
TCS,EQ,2013-09-10,1988.8,1986.0,2016.7,1981.0,1989.95,1987.9,1994.45,2150486.0,4289031303.45,111927.0,1530665.0
TCS,EQ,2013-09-11,1987.9,2008.0,2018.0,1983.5,1987.95,1993.8,1999.16,1504247.0,3007223331.55,66161.0,996803.0
TCS,EQ,2013-09-12,1993.8,1995.0,1998.55,1945.8,1969.0,1967.9,1962.49,952784.0,1869829459.4,62862.0,407959.0
TCS,EQ,2013-09-13,1967.9,1965.0,1990.0,1946.55,1961.7,1953.75,1963.44,1048160.0,2058001744.15,67633.0,568051.0
TCS,EQ,2013-09-16,1953.75,1950.0,1985.0,1894.05,1895.6,1902.55,1918.02,1230253.0,2359654428.35,72613.0,770607.0
TCS,EQ,2013-09-17,1902.55,1900.0,1952.55,1897.1,1944.3,1947.45,1929.34,1663908.0,3210240796.75,74729.0,868404.0
TCS,EQ,2013-09-18,1947.45,1942.05,1964.8,1937.9,1951.0,1954.5,1952.86,1054909.0,2060092549.05,58922.0,744005.0
TCS,EQ,2013-09-19,1954.5,1948.0,1990.0,1926.5,1958.0,1966.3,1966.26,1953620.0,3841323426.45,80968.0,1458730.0
TCS,EQ,2013-09-20,1966.3,1950.0,1989.9,1941.0,1952.3,1950.3,1965.31,1795929.0,3529564199.55,54886.0,1345056.0
TCS,EQ,2013-09-23,1950.3,1950.0,1977.2,1940.0,1957.0,1955.1,1962.53,1494379.0,2932761811.35,84091.0,1129342.0
TCS,EQ,2013-09-24,1955.1,1955.0,1977.9,1926.0,1941.0,1939.5,1950.27,2470150.0,4817462527.7,79928.0,1971658.0
TCS,EQ,2013-09-25,1939.5,1941.5,1970.95,1920.2,1953.25,1959.05,1942.25,2166929.0,4208725174.9,86708.0,1445870.0
TCS,EQ,2013-09-26,1959.05,1954.8,1974.1,1935.1,1942.95,1942.9,1950.49,2459852.0,4797910480.05,72636.0,1572231.0
TCS,EQ,2013-09-27,1942.9,1943.1,1961.95,1937.45,1945.1,1948.1,1951.23,892333.0,1741150833.7,34615.0,625104.0
TCS,EQ,2013-09-30,1948.1,1954.0,1961.85,1920.0,1922.5,1927.8,1943.1,993675.0,1930809918.05,67852.0,656723.0
